principio_ativo_limpo,categoria_terapeutica,total_produtos_registrados,produtos_principais,empresas_principais,popularidade_mercado,diversidade_formulacoes,texto_completo_busca,texto_resumo_busca
Alfasimoctocogue,Outros,1,Nuwiq,02552927000160 - OCTAPHARMA BRASIL LTDA,baixa,baixa,Medicamento: Alfasimoctocogue | Principio Ativo:  ALFASIMOCTOCOGUE | Classe Terapeutica: ANTI-HEMORRAGICOS | Categoria: Outros | Produtos Comerciais: Nuwiq | Total de Produtos: 1,Alfasimoctocogue - Outros
Dicloridrato De Levocetirizina,Outros,15,DICLORIDRATO DE LEVOCETIRIZINA; RIZI; VOCETY,61190096000192 - EUROFARMA LABORATÓRIOS S.A.; 05035244000123 - SUN FARMACÊUTICA DO BRASIL LTDA; 61082426000207 - COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,alta,alta,Medicamento: Dicloridrato De Levocetirizina | Principio Ativo: DICLORIDRATO DE LEVOCETIRIZINA | Classe Terapeutica: ANTIALERGICOS | Categoria: Outros | Produtos Comerciais: DICLORIDRATO DE LEVOCETIRIZINA; RIZI; VOCETY | Total de Produtos: 15,Dicloridrato De Levocetirizina - Outros
Dicloridrato De Levocetirizina Montelucaste De Sodio,Não Classificado,4,LEMONT; Levolukast; RIZI-M,61190096000192 - EUROFARMA LABORATÓRIOS S.A.; 44363661000157 - GLENMARK FARMACÊUTICA LTDA; 61082426000207 - COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,baixa,media,Medicamento: Dicloridrato De Levocetirizina Montelucaste De Sodio | Principio Ativo: DICLORIDRATO DE LEVOCETIRIZINA +  MONTELUCASTE DE SÓDIO | Classe Terapeutica: ANTIALERGICOS | Categoria: Não Classificado | Produtos Comerciais: LEMONT; Levolukast; RIZI-M | Total de Produtos: 4,Dicloridrato De Levocetirizina Montelucaste De Sodio - Não Classificado
Dicloridrato De Manidipino,Outros,2,MANIVASC; dicloridrato de manidipino,61363032000146 - CHIESI FARMACÊUTICA LTDA; 02501297000102 - PHARLAB INDÚSTRIA FARMACÊUTICA S.A.,baixa,baixa,Medicamento: Dicloridrato De Manidipino | Principio Ativo: DICLORIDRATO DE MANIDIPINO | Classe Terapeutica: ANTI-HIPERTENSIVOS SIMPLES | Categoria: Outros | Produtos Comerciais: MANIVASC; dicloridrato de manidipino | Total de Produtos: 2,Dicloridrato De Manidipino - Outros
Dicloridrato De Meclozina Monoidratado,Outros,4,MECLIN; MEZYAC; Naucloz,62462015000129 - APSEN FARMACEUTICA S/A; 60659463002992 - ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,baixa,media,Medicamento: Dicloridrato De Meclozina Monoidratado | Principio Ativo: DICLORIDRATO DE MECLOZINA MONOIDRATADO | Classe Terapeutica: ANTIEMETICOS E ANTINAUSEANTES | Categoria: Outros | Produtos Comerciais: MECLIN; MEZYAC; Naucloz | Total de Produtos: 4,Dicloridrato De Meclozina Monoidratado - Outros
Dicloridrato De Pramipexol,Outros,11,DICLORIDRATO DE PRAMIPEXOL; PRAMIPEZAN; ROCKY,33781055000135 - FUNDAÇÃO OSWALDO CRUZ; 57507378000365 - EMS S/A; 45992062000165 - GERMED FARMACEUTICA LTDA,alta,alta,Medicamento: Dicloridrato De Pramipexol | Principio Ativo: DICLORIDRATO DE PRAMIPEXOL | Classe Terapeutica: ANTIPARKINSONIANOS | Categoria: Outros | Produtos Comerciais: DICLORIDRATO DE PRAMIPEXOL; PRAMIPEZAN; ROCKY | Total de Produtos: 11,Dicloridrato De Pramipexol - Outros
Dicloridrato De Pramipexol Monoidratado,Outros,8,DICLORIDRATO DE PRAMIPEXOL; MINÉRGI; PISA,61190096000192 - EUROFARMA LABORATÓRIOS S.A.; 43312503000105 - SUPERA FARMA LABORATÓRIOS S.A; 44734671000151 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,media,alta,Medicamento: Dicloridrato De Pramipexol Monoidratado | Principio Ativo: DICLORIDRATO DE PRAMIPEXOL MONOIDRATADO | Classe Terapeutica: ANTIPARKINSONIANOS | Categoria: Outros | Produtos Comerciais: DICLORIDRATO DE PRAMIPEXOL; MINÉRGI; PISA | Total de Produtos: 8,Dicloridrato De Pramipexol Monoidratado - Outros
Dicloridrato De Sapropterina,Analgesico,1,KUVAN,08002360000134 - BIOMARIN BRASIL FARMACÊUTICA LTDA,baixa,baixa,Medicamento: Dicloridrato De Sapropterina | Principio Ativo: DICLORIDRATO DE SAPROPTERINA | Classe Terapeutica: OUTROS HORMONIOS E MODULADORES DO METABOLISMO E DA DIGESTAO | Categoria: Analgesico | Produtos Comerciais: KUVAN | Total de Produtos: 1,Dicloridrato De Sapropterina - Analgesico
Dicloridrato De Trientina,Analgesico,1,WILLENTINE,19501429000190 - MAWDSLEYS PHARMACEUTICALS DO BRASIL LTDA,baixa,baixa,Medicamento: Dicloridrato De Trientina | Principio Ativo: DICLORIDRATO DE TRIENTINA | Classe Terapeutica: MODULADORES DO METABOLISMO E DA DIGESTAO | Categoria: Analgesico | Produtos Comerciais: WILLENTINE | Total de Produtos: 1,Dicloridrato De Trientina - Analgesico
Dicloridrato De Trifluoperazina,Outros,1,STELAZINE,33247743000110 - GLAXOSMITHKLINE BRASIL LTDA,baixa,baixa,Medicamento: Dicloridrato De Trifluoperazina | Principio Ativo: DICLORIDRATO DE TRIFLUOPERAZINA | Classe Terapeutica: ANSIOLITICOS SIMPLES | Categoria: Outros | Produtos Comerciais: STELAZINE | Total de Produtos: 1,Dicloridrato De Trifluoperazina - Outros
Dicloridrato De Trimetazidina,Analgesico,22,CORTAZIDIN; DICLORIDRATO DE TRIMETAZIDINA; ESKEMICO,72593791000111 - NOVA QUIMICA FARMACÊUTICA S/A; 57507378000365 - EMS S/A; 05044984000126 - LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA,alta,alta,Medicamento: Dicloridrato De Trimetazidina | Principio Ativo: DICLORIDRATO DE TRIMETAZIDINA | Classe Terapeutica: ANTIANGINOSOS E VASODILATADORES | Categoria: Analgesico | Produtos Comerciais: CORTAZIDIN; DICLORIDRATO DE TRIMETAZIDINA; ESKEMICO | Total de Produtos: 22,Dicloridrato De Trimetazidina - Analgesico
Didrogesterona,Outros,1,DUPHASTON,56998701000116 - ABBOTT LABORATÓRIOS DO BRASIL LTDA,baixa,baixa,Medicamento: Didrogesterona | Principio Ativo: DIDROGESTERONA | Classe Terapeutica: PROGESTAGENOS SIMPLES | Categoria: Outros | Produtos Comerciais: DUPHASTON | Total de Produtos: 1,Didrogesterona - Outros
Didrogesterona Estradiol Hemi-Hidratado,Outros,1,FEMOSTON,56998701000116 - ABBOTT LABORATÓRIOS DO BRASIL LTDA,baixa,baixa,Medicamento: Didrogesterona Estradiol Hemi-Hidratado | Principio Ativo: DIDROGESTERONA +  ESTRADIOL HEMI-HIDRATADO | Classe Terapeutica: ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS | Categoria: Outros | Produtos Comerciais: FEMOSTON | Total de Produtos: 1,Didrogesterona Estradiol Hemi-Hidratado - Outros
Dienogeste,Outros,24,ALANDRE; ALLUNY; ALLURENE,05044984000126 - LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA; 17440261000125 - MYRALIS INDÚSTRIA FARMACÊUTICA LTDA; 18459628000115 - BAYER S.A.,alta,alta,Medicamento: Dienogeste | Principio Ativo: DIENOGESTE | Classe Terapeutica: PROGESTAGENOS SIMPLES | Categoria: Outros | Produtos Comerciais: ALANDRE; ALLUNY; ALLURENE | Total de Produtos: 24,Dienogeste - Outros
Dienogeste Valerato De Estradiol,Outros,3,QLAIRA; TAMBELLA,18459628000115 - BAYER S.A.,baixa,baixa,Medicamento: Dienogeste Valerato De Estradiol | Principio Ativo: DIENOGESTE +  VALERATO DE ESTRADIOL | Classe Terapeutica: ANTICONCEPCIONAIS | Categoria: Outros | Produtos Comerciais: QLAIRA; TAMBELLA | Total de Produtos: 3,Dienogeste Valerato De Estradiol - Outros
Difosfato De Cloroquina,Outros,3,CLOROQUINA DIFOSFATO; LQFEX - CLOROQUINA; QUINACRIS,33781055000135 - FUNDAÇÃO OSWALDO CRUZ; 00394452000103 - COMANDO DO EXÉRCITO; 44734671000151 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,baixa,media,Medicamento: Difosfato De Cloroquina | Principio Ativo: DIFOSFATO DE CLOROQUINA | Classe Terapeutica: ANTIMALARICOS | Categoria: Outros | Produtos Comerciais: CLOROQUINA DIFOSFATO; LQFEX - CLOROQUINA; QUINACRIS | Total de Produtos: 3,Difosfato De Cloroquina - Outros
Difosfato De Primaquina,Outros,1,FARMANGUINHOS PRIMAQUINA,33781055000135 - FUNDAÇÃO OSWALDO CRUZ,baixa,baixa,Medicamento: Difosfato De Primaquina | Principio Ativo: DIFOSFATO DE PRIMAQUINA | Classe Terapeutica: ANTIMALÁRICOS | Categoria: Outros | Produtos Comerciais: FARMANGUINHOS PRIMAQUINA | Total de Produtos: 1,Difosfato De Primaquina - Outros
Digoxina,Cardiovascular,6,CARDCOR; DIGOXINA; Digoxina,17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A; 73856593000166 - PRATI DONADUZZI & CIA LTDA; 02501297000102 - PHARLAB INDÚSTRIA FARMACÊUTICA S.A.,media,alta,Medicamento: Digoxina | Principio Ativo: DIGOXINA | Classe Terapeutica: GLICOSIDEOS CARDIACOS | Categoria: Cardiovascular | Produtos Comerciais: CARDCOR; DIGOXINA; Digoxina | Total de Produtos: 6,Digoxina - Cardiovascular
Dimaleato De Afatinibe,Outros,1,GIOTRIF,60831658000177 - BOEHRINGER INGELHEIM DO BRASIL QUÍMICA E FARMACÊUTICA LTDA.,baixa,baixa,Medicamento: Dimaleato De Afatinibe | Principio Ativo: DIMALEATO DE AFATINIBE | Classe Terapeutica: ANTINEOPLASICO | Categoria: Outros | Produtos Comerciais: GIOTRIF | Total de Produtos: 1,Dimaleato De Afatinibe - Outros
Dimenidrinato,Outros,5,Dramavit; Dramin; dimenidrinato,05161069000110 - BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A; 61082426000207 - COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.; 60665981000118 - UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,media,media,Medicamento: Dimenidrinato | Principio Ativo: DIMENIDRINATO | Classe Terapeutica: ANTIEMETICOS E ANTINAUSEANTES | Categoria: Outros | Produtos Comerciais: Dramavit; Dramin; dimenidrinato | Total de Produtos: 5,Dimenidrinato - Outros
Dimenidrinato Cloridrato De Piridoxina,Outros,3,DRIVOM B6; dimenidrinato + cloridrato de piridoxina; NAUSICALM B6,30222814000131 - VITAMEDIC INDUSTRIA FARMACEUTICA LTDA; 60665981000118 - UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,baixa,media,Medicamento: Dimenidrinato Cloridrato De Piridoxina | Principio Ativo: DIMENIDRINATO +  CLORIDRATO DE PIRIDOXINA | Classe Terapeutica: ANTIEMETICOS E ANTINAUSEANTES | Categoria: Outros | Produtos Comerciais: DRIVOM B6; dimenidrinato + cloridrato de piridoxina; NAUSICALM B6 | Total de Produtos: 3,Dimenidrinato Cloridrato De Piridoxina - Outros
Dimesilato De Lisdexanfetamina,Outros,15,JUNEVE; VENVANSE; LYBERDIA,60397775000174 - TAKEDA PHARMA LTDA.; 57507378000365 - EMS S/A; 45992062000165 - GERMED FARMACEUTICA LTDA,alta,alta,Medicamento: Dimesilato De Lisdexanfetamina | Principio Ativo: DIMESILATO DE LISDEXANFETAMINA | Classe Terapeutica: PSICOANALETICOS | Categoria: Outros | Produtos Comerciais: JUNEVE; VENVANSE; LYBERDIA | Total de Produtos: 15,Dimesilato De Lisdexanfetamina - Outros
Dimeticona Gel De Hidroxido De Aluminio Hidroxido De Aluminio Hidroxido De Aluminio Hidroxido De Magnesio Simeticona,Outros,1,GASTROGEL,17875154000120 - MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.,baixa,baixa,Medicamento: Dimeticona Gel De Hidroxido De Aluminio Hidroxido De Aluminio Hidroxido De Aluminio Hidroxido De Magnesio Simeticona | Principio Ativo: DIMETICONA +  GEL DE HIDRÓXIDO DE ALUMINIO +  HIDROXIDO DE ALUMÍNIO +  HIDRÓXIDO DE ALUMÍNIO +  HIDRÓXIDO DE MAGNÉSIO +  SIMETICONA | Classe Terapeutica: ANTIACIDOS E ANTIULCEROSOS ASSOCIADOS | Categoria: Outros | Produtos Comerciais: GASTROGEL | Total de Produtos: 1,Dimeticona Gel De Hidroxido De Aluminio Hidroxido De Aluminio Hidroxido De Aluminio Hidroxido De Magnesio Simeticona - Outros
Dimeticona Hidroxido De Aluminio Hidroxido De Magnesio,Outros,1,PEPSOGEL,05044984000126 - LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA,baixa,baixa,Medicamento: Dimeticona Hidroxido De Aluminio Hidroxido De Magnesio | Principio Ativo: DIMETICONA +  HIDROXIDO DE ALUMÍNIO +  HIDROXIDO DE MAGNESIO | Classe Terapeutica: ANTIACIDOS E ANTIULCEROSOS ASSOCIADOS | Categoria: Outros | Produtos Comerciais: PEPSOGEL | Total de Produtos: 1,Dimeticona Hidroxido De Aluminio Hidroxido De Magnesio - Outros
Dimeticona Hidroxido De Aluminio Hidroxido De Magnesio Hidroxido De Aluminio Oxido De Magnesio,Outros,1,SIMECO PLUS,61190096000192 - EUROFARMA LABORATÓRIOS S.A.,baixa,baixa,Medicamento: Dimeticona Hidroxido De Aluminio Hidroxido De Magnesio Hidroxido De Aluminio Oxido De Magnesio | Principio Ativo: DIMETICONA +  HIDROXIDO DE ALUMÍNIO +  HIDROXIDO DE MAGNESIO +  HIDRÓXIDO DE ALUMÍNIO +  ÓXIDO DE MAGNÉSIO | Classe Terapeutica: ANTIACIDOS E ANTIULCEROSOS ASSOCIADOS | Categoria: Outros | Produtos Comerciais: SIMECO PLUS | Total de Produtos: 1,Dimeticona Hidroxido De Aluminio Hidroxido De Magnesio Hidroxido De Aluminio Oxido De Magnesio - Outros
Dimeticona Simeticona,Outros,1,simeticona,73856593000166 - PRATI DONADUZZI & CIA LTDA,baixa,baixa,Medicamento: Dimeticona Simeticona | Principio Ativo: DIMETICONA +  SIMETICONA | Classe Terapeutica: ADSORVENTES E ANTIFISETICOS INTESTINAIS SIMPLES | Categoria: Outros | Produtos Comerciais: simeticona | Total de Produtos: 1,Dimeticona Simeticona - Outros
Dimetilsulfoxido De Trametinibe,Outros,1,Mekinist,56994502000130 - NOVARTIS BIOCIENCIAS S.A,baixa,baixa,Medicamento: Dimetilsulfoxido De Trametinibe | Principio Ativo: DIMETILSULFÓXIDO DE TRAMETINIBE | Classe Terapeutica: AGENTES ANTINEOPLÁSICOS | Categoria: Outros | Produtos Comerciais: Mekinist | Total de Produtos: 1,Dimetilsulfoxido De Trametinibe - Outros
Dinitrato De Isossorbida,Outros,1,ISORDIL,00923140000131 - EMS SIGMA PHARMA LTDA,baixa,baixa,Medicamento: Dinitrato De Isossorbida | Principio Ativo: DINITRATO DE ISOSSORBIDA | Classe Terapeutica: NITRITOS NITRATOS E SEMELHANTES | Categoria: Outros | Produtos Comerciais: ISORDIL | Total de Produtos: 1,Dinitrato De Isossorbida - Outros
Dinoprostona,Outros,1,PROPESS,74232034000148 - LABORATÓRIOS FERRING LTDA,baixa,baixa,Medicamento: Dinoprostona | Principio Ativo: DINOPROSTONA | Classe Terapeutica: PROSTAGLANDINAS | Categoria: Outros | Produtos Comerciais: PROPESS | Total de Produtos: 1,Dinoprostona - Outros
Diosmina,Outros,1,FLEBODIA,33145194000172 - LABORATÓRIO GROSS S. A.,baixa,baixa,Medicamento: Diosmina | Principio Ativo: DIOSMINA | Classe Terapeutica: ANTIVARICOSOS DE ACAO SISTEMICA | Categoria: Outros | Produtos Comerciais: FLEBODIA | Total de Produtos: 1,Diosmina - Outros
Diosmina Flavonoides Expressos Em Hesperidina,Outros,10,DHIVAS; DIEVARI; DIOHESP,43312503000105 - SUPERA FARMA LABORATÓRIOS S.A; 61190096000192 - EUROFARMA LABORATÓRIOS S.A.; 17115437000173 - LABORATÓRIO GLOBO SA,alta,alta,Medicamento: Diosmina Flavonoides Expressos Em Hesperidina | Principio Ativo: DIOSMINA +  FLAVONÓIDES EXPRESSOS EM HESPERIDINA | Classe Terapeutica: ANTIVARICOSOS DE ACAO SISTEMICA | Categoria: Outros | Produtos Comerciais: DHIVAS; DIEVARI; DIOHESP | Total de Produtos: 10,Diosmina Flavonoides Expressos Em Hesperidina - Outros
Diosmina Flavonoides Expressos Em Hesperidina Hesperidina,Outros,7,DAFLON; DIOSMIN; DIOVASES,42374207000176 - LABORATÓRIOS SERVIER DO BRASIL LTDA; 60659463002992 - ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A; 57507378000365 - EMS S/A,media,alta,Medicamento: Diosmina Flavonoides Expressos Em Hesperidina Hesperidina | Principio Ativo: DIOSMINA +  FLAVONÓIDES EXPRESSOS EM HESPERIDINA +  HESPERIDINA | Classe Terapeutica: ANTIVARICOSOS DE ACAO SISTEMICA | Categoria: Outros | Produtos Comerciais: DAFLON; DIOSMIN; DIOVASES | Total de Produtos: 7,Diosmina Flavonoides Expressos Em Hesperidina Hesperidina - Outros
Diosmina Hesperidina,Outros,16,CONDUVAZ; CONVIVANCE; DIOEH,09545589000188 - MABRA FARMACEUTICA LTDA; 10588595001092 - SANOFI MEDLEY FARMACÊUTICA LTDA.; 49475833000106 - BIOLAB SANUS FARMACÊUTICA LTDA,alta,alta,Medicamento: Diosmina Hesperidina | Principio Ativo: DIOSMINA +  HESPERIDINA | Classe Terapeutica: ANTIVARICOSOS DE ACAO SISTEMICA | Categoria: Outros | Produtos Comerciais: CONDUVAZ; CONVIVANCE; DIOEH | Total de Produtos: 16,Diosmina Hesperidina - Outros
Dipiridamol,Analgesico,1,PERSANTIN,19501429000190 - MAWDSLEYS PHARMACEUTICALS DO BRASIL LTDA,baixa,baixa,Medicamento: Dipiridamol | Principio Ativo: DIPIRIDAMOL | Classe Terapeutica: VASODILATADORES | Categoria: Analgesico | Produtos Comerciais: PERSANTIN | Total de Produtos: 1,Dipiridamol - Analgesico
Dipirona,Analgesico,47,ABERALGINA; ALIVDIP; CONMEL,01858973000129 - AIRELA INDÚSTRIA FARMACÊUTICA LTDA.; 17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A; 61082426000207 - COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,alta,alta,Medicamento: Dipirona | Principio Ativo: DIPIRONA | Classe Terapeutica: ANALGESICOS NAO NARCOTICOS | Categoria: Analgesico | Produtos Comerciais: ABERALGINA; ALIVDIP; CONMEL | Total de Produtos: 47,Dipirona - Analgesico
Dipirona Dipirona Monoidratada,Analgesico,5,DIFEBRIL; MAXALGINA; DORENXAQ,17562075000169 - CIFARMA CIENTÍFICA FARMACÊUTICA LTDA; 02456955000183 - NATULAB LABORATÓRIO S.A; 05161069000110 - BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,media,alta,Medicamento: Dipirona Dipirona Monoidratada | Principio Ativo: DIPIRONA +  DIPIRONA MONOIDRATADA | Classe Terapeutica: ANALGESICOS NAO NARCOTICOS | Categoria: Analgesico | Produtos Comerciais: DIFEBRIL; MAXALGINA; DORENXAQ | Total de Produtos: 5,Dipirona Dipirona Monoidratada - Analgesico
Dipirona Maleato De Clorfeniramina Acido Ascorbico,Analgesico,1,APRACUR,61082426000207 - COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,baixa,baixa,Medicamento: Dipirona Maleato De Clorfeniramina Acido Ascorbico | Principio Ativo: DIPIRONA +  MALEATO DE CLORFENIRAMINA +  ÁCIDO ASCÓRBICO | Classe Terapeutica: ANALGESICOS | Categoria: Analgesico | Produtos Comerciais: APRACUR | Total de Produtos: 1,Dipirona Maleato De Clorfeniramina Acido Ascorbico - Analgesico
Dipirona Monoidratada,Analgesico,50,ANADOR; ATROVERAN DIP; DIPIRONA,10588595001092 - SANOFI MEDLEY FARMACÊUTICA LTDA.; 61082426000207 - COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.; 06628333000146 - FARMACE INDÚSTRIA QUÍMICO-FARMACÊUTICA CEARENSE LTDA,alta,alta,Medicamento: Dipirona Monoidratada | Principio Ativo: DIPIRONA MONOIDRATADA | Classe Terapeutica: ANALGESICOS NAO NARCOTICOS | Categoria: Analgesico | Produtos Comerciais: ANADOR; ATROVERAN DIP; DIPIRONA | Total de Produtos: 50,Dipirona Monoidratada - Analgesico
Dipirona Monoidratada Cafeina Anidra Citrato De Orfenadrina,Outros,1,NEOSALDINA MUSCULAR MAX,61082426000207 - COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,baixa,baixa,Medicamento: Dipirona Monoidratada Cafeina Anidra Citrato De Orfenadrina | Principio Ativo: DIPIRONA MONOIDRATADA +  CAFEÍNA ANIDRA +  CITRATO DE ORFENADRINA | Classe Terapeutica: RELAXANTES MUSCULARES CENTRAIS-ASSOCIACOES MEDICAMENTOSAS | Categoria: Outros | Produtos Comerciais: NEOSALDINA MUSCULAR MAX | Total de Produtos: 1,Dipirona Monoidratada Cafeina Anidra Citrato De Orfenadrina - Outros
Dipirona Monoidratada Citrato De Orfenadrina Cafeina Anidra,Outros,2,DORCIFLEXIN; DIPIRONA SODICA+CAFEINA ANIDRA+CITRATO DE ORFENADRINA,17562075000169 - CIFARMA CIENTÍFICA FARMACÊUTICA LTDA; 17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A,baixa,baixa,Medicamento: Dipirona Monoidratada Citrato De Orfenadrina Cafeina Anidra | Principio Ativo: DIPIRONA MONOIDRATADA +  CITRATO DE ORFENADRINA +  CAFEÍNA ANIDRA | Classe Terapeutica: RELAXANTES MUSCULARES CENTRAIS-ASSOCIACOES MEDICAMENTOSAS | Categoria: Outros | Produtos Comerciais: DORCIFLEXIN; DIPIRONA SODICA+CAFEINA ANIDRA+CITRATO DE ORFENADRINA | Total de Produtos: 2,Dipirona Monoidratada Citrato De Orfenadrina Cafeina Anidra - Outros
Dipirona Monoidratada Mucato De Isometepteno Cafeina,Analgesico,1,DORALGINA PLUS,05161069000110 - BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A.,baixa,baixa,Medicamento: Dipirona Monoidratada Mucato De Isometepteno Cafeina | Principio Ativo: DIPIRONA MONOIDRATADA +  MUCATO DE ISOMETEPTENO +  CAFEÍNA | Classe Terapeutica: ANALGESICOS NAO NARCOTICOS | Categoria: Analgesico | Produtos Comerciais: DORALGINA PLUS | Total de Produtos: 1,Dipirona Monoidratada Mucato De Isometepteno Cafeina - Analgesico
Dipirona Monoidratada Mucato De Isometepteno Cafeina Anidra,Analgesico,2,dipirona + mucato de isometepteno + cafeína; DORALGINA,05161069000110 - BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,baixa,baixa,Medicamento: Dipirona Monoidratada Mucato De Isometepteno Cafeina Anidra | Principio Ativo: DIPIRONA MONOIDRATADA +  MUCATO DE ISOMETEPTENO +  CAFEÍNA ANIDRA | Classe Terapeutica: ANALGESICOS NAO NARCOTICOS | Categoria: Analgesico | Produtos Comerciais: dipirona + mucato de isometepteno + cafeína; DORALGINA | Total de Produtos: 2,Dipirona Monoidratada Mucato De Isometepteno Cafeina Anidra - Analgesico
Dipropionato De Beclometasona,Respiratorio,9,AILUK; ALERFIN; BECLOSOL,44363661000157 - GLENMARK FARMACÊUTICA LTDA; 61363032000146 - CHIESI FARMACÊUTICA LTDA; 33247743000110 - GLAXOSMITHKLINE BRASIL LTDA,media,alta,Medicamento: Dipropionato De Beclometasona | Principio Ativo: DIPROPIONATO DE BECLOMETASONA | Classe Terapeutica: ANTIASMATICOS | Categoria: Respiratorio | Produtos Comerciais: AILUK; ALERFIN; BECLOSOL | Total de Produtos: 9,Dipropionato De Beclometasona - Respiratorio
Dipropionato De Beclometasona Fumarato De Formoterol Diidratado,Respiratorio,1,FOSTAIR,61363032000146 - CHIESI FARMACÊUTICA LTDA,baixa,baixa,Medicamento: Dipropionato De Beclometasona Fumarato De Formoterol Diidratado | Principio Ativo: DIPROPIONATO DE BECLOMETASONA +  FUMARATO DE FORMOTEROL DIIDRATADO | Classe Terapeutica: ANTIASMATICOS | Categoria: Respiratorio | Produtos Comerciais: FOSTAIR | Total de Produtos: 1,Dipropionato De Beclometasona Fumarato De Formoterol Diidratado - Respiratorio
Dipropionato De Beclometasona Salbutamol,Respiratorio,1,CLENIL COMPOSITUM HFA,61363032000146 - CHIESI FARMACÊUTICA LTDA,baixa,baixa,Medicamento: Dipropionato De Beclometasona Salbutamol | Principio Ativo: DIPROPIONATO DE BECLOMETASONA +  SALBUTAMOL | Classe Terapeutica: ANTIASMATICOS | Categoria: Respiratorio | Produtos Comerciais: CLENIL COMPOSITUM HFA | Total de Produtos: 1,Dipropionato De Beclometasona Salbutamol - Respiratorio
Dipropionato De Beclometasona Sulfato De Salbutamol,Respiratorio,1,CLENIL COMPOSITUM  A,61363032000146 - CHIESI FARMACÊUTICA LTDA,baixa,baixa,Medicamento: Dipropionato De Beclometasona Sulfato De Salbutamol | Principio Ativo: DIPROPIONATO DE BECLOMETASONA +  SULFATO DE SALBUTAMOL | Classe Terapeutica: ANTIASMATICOS | Categoria: Respiratorio | Produtos Comerciais: CLENIL COMPOSITUM  A | Total de Produtos: 1,Dipropionato De Beclometasona Sulfato De Salbutamol - Respiratorio
Dipropionato De Betametasona,Outros,6,CORTIFAR; DIPROPIONATO DE BETAMETASONA; DIPROSONE,83874628000143 - LABORATÓRIO FARMACÊUTICO ELOFAR LTDA; 57507378000365 - EMS S/A; 00923140000131 - EMS SIGMA PHARMA LTDA,media,media,Medicamento: Dipropionato De Betametasona | Principio Ativo: DIPROPIONATO DE BETAMETASONA | Classe Terapeutica: GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM. | Categoria: Outros | Produtos Comerciais: CORTIFAR; DIPROPIONATO DE BETAMETASONA; DIPROSONE | Total de Produtos: 6,Dipropionato De Betametasona - Outros
Dipropionato De Betametasona Calcipotriol Monoidratado,Dermatologico,1,DAIVOBET,11424477000110 - LEO PHARMA LTDA,baixa,baixa,Medicamento: Dipropionato De Betametasona Calcipotriol Monoidratado | Principio Ativo: DIPROPIONATO DE BETAMETASONA +  CALCIPOTRIOL MONOIDRATADO | Classe Terapeutica: GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA | Categoria: Dermatologico | Produtos Comerciais: DAIVOBET | Total de Produtos: 1,Dipropionato De Betametasona Calcipotriol Monoidratado - Dermatologico
Dipropionato De Betametasona Fosfato Dissodico De Betametasona,Outros,11,BECLONATO; BETAPROSPAN; BETATRINTA,05161069000110 - BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A; 60665981000118 - UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A; 61190096000192 - EUROFARMA LABORATÓRIOS S.A.,alta,alta,Medicamento: Dipropionato De Betametasona Fosfato Dissodico De Betametasona | Principio Ativo: DIPROPIONATO DE BETAMETASONA +  FOSFATO DISSÓDICO DE BETAMETASONA | Classe Terapeutica: GLICOCORTICOIDES SISTEMICOS | Categoria: Outros | Produtos Comerciais: BECLONATO; BETAPROSPAN; BETATRINTA | Total de Produtos: 11,Dipropionato De Betametasona Fosfato Dissodico De Betametasona - Outros
